,VOLKRAJ,KSTRANA,PORCISLO,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST_x,POCHLASU,POCPROC,POCPROCVSE,MANDAT,PORADIMAND,PORADINAHR,VSTRANA,NAZEVCELK,NAZEV_STRK,ZKRATKAK30,ZKRATKAK8,POCSTRVKO,SLOZENI,STAVREG,PLATNOST_y,SLOZNEPLAT,POCMANDCR
0,14,21,2,Milada,Halíková,PaedDr.,,63.0,pedagožka,Havířov,555088.0,99.0,47.0,0,4611,0.0,4.75,1,3,0,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
1,14,21,3,René,Číp,Ing.,,38.0,lektor vzdělávacích projektů,Ostrava,4.0,47.0,47.0,0,2892,0.0,2.98,1,4,0,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
2,14,21,4,Kateřina,Konečná,Ing.,,32.0,ekonomka,Nový Jičín,599191.0,47.0,47.0,0,6866,7.08,7.08,1,1,0,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
3,14,21,5,Leo,Luzar,Ing.,,48.0,obchodní zástupce,Ostrava,4.0,47.0,47.0,0,1730,0.0,1.78,0,0,1,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
4,14,21,6,Irena,Babicová,,,50.0,starostka obce Baška,Baška,598011.0,99.0,47.0,0,2099,0.0,2.16,0,0,2,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
5,14,21,7,Petr,Jančík,Mgr. Bc.,,36.0,ředitel domova pro seniory,Hlučín,507016.0,47.0,47.0,0,2441,0.0,2.51,0,0,3,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
6,14,21,8,Jitka,Hanusová,Ing.,,42.0,místostarostka,Město Albrechtice,597635.0,99.0,47.0,0,1866,0.0,1.92,0,0,4,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
7,14,21,9,Petr,Havránek,Ing. Bc.,,36.0,ředitel obchodní společnosti,Studénka,599921.0,99.0,47.0,0,964,0.0,0.99,0,0,5,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
8,14,21,10,Miroslav,Hajdušík,Ing.,,29.0,manažer,Karviná,598917.0,47.0,47.0,0,2132,0.0,2.2,0,0,6,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
9,14,21,11,Jiří,Blahuta,,,48.0,starosta obce Raškovice,Raškovice,549665.0,47.0,47.0,0,1663,0.0,1.71,0,0,7,47,Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,Komunistická str.Čech a Moravy,KSČM,1,047,00000000000000,0,,33.0
