,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
0,2,1,724,Jaroslav,Bradáč,Ing.,,57,uvolněný člen Rady Karl. kraje,Skalná,554812,724,724,0,1061,4.87,4.87121803406638,0,0,0,0.0,0.0,0,0,,Strana Práv Občanů ZEMANOVCI
1,2,2,80,Jiří,Korbel,,,43,prac.v rotač.syst.gastronomie,Sokolov,560286,99,80,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,Nezávislí kandidáti
2,2,3,7,Zdeněk,Berka,Ing.,,61,starosta města Sokolov,Sokolov,560286,7,7,0,6364,29.21,29.21812588953675,2,0,5373,56.68,56.68319442979217,1,0,,Česká strana sociálně demokratická
3,2,4,659,Petr,Zahradníček,Mgr.,,48,"OSVČ- novinář, hudebník",Loket,560537,721,721,0,2043,9.37,9.3797346311005,0,0,0,0.0,0.0,0,0,,"Koalice ""STAN"" a TOP 09"
4,2,5,53,Karel,Jakobec,Ing.,,48,místostarosta města Sokolov,Sokolov,560286,53,53,0,3615,16.59,16.59703411229971,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
5,2,6,714,Jiří,Pánek,Ing.,,49,"geodézie, zeměměřický inženýr",Sokolov,560286,714,714,0,2109,9.68,9.68275102153252,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
6,2,7,764,David,Cervan,Ing.,Ph.D.,42,středoškolský učitel,Nové Sedlo,560570,764,764,0,843,3.87,3.87034571415453,0,0,0,0.0,0.0,0,0,,Národní socialisté - levice 21. století
7,2,8,47,Jiří,Holan,Mgr.,,69,důchodce,Rotava,560600,47,47,0,4688,21.52,21.52334603553555,2,0,4106,43.31,43.31680557020782,0,0,,Komunistická strana Čech a Moravy
8,2,9,144,Věra,Ježková,Ing.,,57,báňská inženýrka,Karlovy Vary,554961,99,144,0,1058,4.85,4.85744456177402,0,0,0,0.0,0.0,0,0,,Věci veřejné
9,5,1,197,Marie,Kindermannová,PaedDr.,,64,spec.pedagog-etoped,Chomutov,562971,197,197,0,1545,5.58,5.58326105810928,0,0,0,0.0,0.0,0,0,,NESPOKOJENÍ OBČANÉ!
10,5,2,768,Milada,Benešová,,,45,podnikatelka,Jirkov,563099,99,768,0,1923,6.94,6.94926279271465,0,0,0,0.0,0.0,0,0,,ANO 2011
11,5,3,759,Václav,Netolický,PaedDr.,,62,Vysokoškolský pedagog,Vejprty,563404,99,759,0,833,3.01,3.01026308181555,0,0,0,0.0,0.0,0,0,,SUVERENITA - Blok Jany Bobošíkové
12,5,4,659,Josef,Mašek,MUDr.,,59,lékař,Kadaň,563102,99,721,0,1711,6.18,6.18314541775079,0,0,0,0.0,0.0,0,0,,"Koalice ""STAN"" a TOP 09"
13,5,5,716,Bedřich,Suldovský,,,76,živnostník,Postoloprty,566624,716,716,0,146,0.52,0.52760913558832,0,0,0,0.0,0.0,0,0,,Strana soukromníků České republiky
14,5,6,764,Jiří,Cinger,,,50,předseda krajské rady odborů,Klášterec nad Ohří,563129,99,764,0,530,1.91,1.91529343740965,0,0,0,0.0,0.0,0,0,,Národní socialisté - levice 21. století
15,5,7,704,Jan,Micka,PaedDr.,,52,učitel,Chomutov,562971,704,704,0,2524,9.12,9.12113327551315,0,0,0,0.0,0.0,0,0,,Severočeši.cz
16,5,8,7,Rudolf,Kozák,Ing.,,48,manager,Chomutov,562971,7,7,0,4646,16.78,16.78953454755709,2,0,4740,40.37,40.37822642473805,0,0,,Česká strana sociálně demokratická
17,5,9,47,Václav,Homolka,PaedDr.,,57,senátor PČR,Klášterec nad Ohří,563129,47,47,0,6815,24.62,24.62778259612604,2,0,6999,59.62,59.62177357526194,1,0,,Komunistická strana Čech a Moravy
18,5,10,599,Přemysl,Rabas,MVDr.,,49,Poradce pro zoologické zahrady,Chomutov,562971,5,5,0,4503,16.27,16.27276669557675,0,0,0,0.0,0.0,0,0,,"Koalice KDU-ČSL, SZ, HNHRM"
