,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
128,42,3,659,Pavel,Kárník,Mgr.,,54,ředitel knihovny,Kolín,533165,721,721,0,7143,16.78,16.78849272569158,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
129,42,4,792,Roman,Škrabánek,Ing.,,47,"ekonom, prezident Asociace cestovních kanc.a ag.",Kolín,533165,99,792,0,3787,8.9,8.90074505840599,0,0,0,0.0,0.0,0,0,,Úsvit přímé demokracie
130,42,5,768,Regina,Davídková,Ing.,,64,ekonomka,Dolní Chvatliny,533297,768,768,0,6779,15.93,15.93296824687992,0,0,0,0.0,0.0,0,0,,ANO 2011
131,42,6,53,Milan,Rak,MUDr.,,57,lékař,Kolín,533165,99,53,0,7828,18.39,18.39847697840035,2,0,7799,43.75,43.75070122293279,0,0,,Občanská demokratická strana
132,42,7,47,František,Švarc,,,62,"strojní zámečník, předseda OV KSČM",Radim,533629,47,47,0,4750,11.16,11.1641243800973,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
133,45,1,53,Oldřich,Vlasák,Ing.,,58,"místopřed.Svazu měst a obcí, před.správní rady UHK",Hradec Králové,569810,53,53,0,7524,18.91,18.918307309346,2,0,8613,39.87,39.87130821220257,0,0,,Občanská demokratická strana
134,45,2,7,Jaroslav,Malý,prof. MUDr.,CSc.,67,"proděkan LF UK, lékařský náměstek FN HK",Hradec Králové,569810,99,7,0,8733,21.95,21.95821075658142,2,0,12989,60.12,60.12869178779742,1,0,,Česká strana sociálně demokratická
135,45,3,5,Pavel,Křížek,Mgr. Ing.,,53,podnikatel v mezinárodním obchodě,Hradec Králové,569810,5,5,0,2342,5.88,5.88871288124512,0,0,0,0.0,0.0,0,0,,Strana zelených
136,45,4,792,Ladislav,Minařík,gen. Ing.,,60,emeritní velitel vzdušných sil AČR,Pardubice,555134,99,792,0,1077,2.7,2.70800331900128,0,0,0,0.0,0.0,0,0,,Úsvit přímé demokracie
137,45,5,47,Lubomír,Štěpán,Ing.,,60,projektant,Hradec Králové,569810,47,47,0,3892,9.78,9.78602499308541,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
138,45,6,155,Vladimír,Dryml,MUDr.,,62,"lékař, senátor",Hradec Králové,569810,99,155,0,745,1.87,1.8732242085942,0,0,0,0.0,0.0,0,0,,DOMOV
139,45,7,768,Přemysl,Škácha,Ing.,,58,přidělenec obrany ČR v USA,Hradec Králové,569810,99,768,0,6027,15.15,15.15425812778154,0,0,0,0.0,0.0,0,0,,ANO 2011
140,45,8,714,Jiří,Hejhálek,RNDr.,,57,šéfredaktor časopisu,Hradec Králové,569810,714,714,0,1422,3.57,3.5754695632496,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
141,45,9,1,Anna,Maclová,Ing.,,54,náměstkyně primátora města Hradec Králové,Hradec Králové,569810,99,1,0,4400,11.06,11.06333760780468,0,0,0,0.0,0.0,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
142,45,10,1061,Jiří,Hladík,,,59,daňový poradce,Hradec Králové,569810,1061,1061,0,459,1.15,1.15410726408689,0,0,0,0.0,0.0,0,0,,DOMA
143,45,11,659,Jiří,Oliva,doc. Ing.,Ph.D.,62,vysokoškolský pedagog,Oucmanice,580741,721,721,0,3150,7.92,7.9203439692238,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
144,48,1,724,Soňa,Hlavová,MUDr.,,57,"urolog, ambulantní specialista",Skuhrov nad Bělou,576778,724,724,0,2829,6.92,6.92567567567567,0,0,0,0.0,0.0,0,0,,Strana Práv Občanů
145,48,2,768,Petr,Sadovský,,,45,podnikatel v IT,Dobruška,576271,768,768,0,5606,13.72,13.72405013709361,0,0,0,0.0,0.0,0,0,,ANO 2011
146,48,3,7,Miroslav,Antl,JUDr.,,59,senátor,Hradec Králové,569810,99,7,0,16799,41.12,41.12563650607128,2,0,10823,59.76,59.76586227842509,1,0,,Česká strana sociálně demokratická
147,48,4,659,Václav,Cempírek,prof. Ing.,Ph.D.,60,profesor,Česká Třebová,580031,721,721,0,3367,8.24,8.2427536231884,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
148,48,5,720,Roman,Kučera,Ing.,,50,servisní technik,Praha,554782,720,720,0,1350,3.3,3.30493537015276,0,0,0,0.0,0.0,0,0,,Česká pirátská strana
149,48,6,47,Josef,Lukášek,PaedDr.,,62,člen Rady Královéhradeckého kraje,Bystré,576166,47,47,0,4393,10.75,10.7545045045045,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
150,48,7,1,Luboš,Řehák,,,46,"starosta obce Val, předseda MAS POHODA venkova",Val,576875,99,1,0,6504,15.92,15.92244418331374,2,0,7286,40.23,40.2341377215749,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
151,51,1,53,Jaroslav,Ptáček,PaedDr.,,54,ředitel základní školy,Žďár nad Sázavou,595209,53,53,0,4746,11.31,11.31481702229109,0,0,0,0.0,0.0,0,0,,Občanská demokratická strana
152,51,2,47,Petr,Stoček,Ing.,,69,projektant,Žďár nad Sázavou,595209,47,47,0,2706,6.45,6.45130528072475,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
153,51,3,779,Ladislav,Stalmach,Mgr.,,44,starosta obce,Vír,597074,99,779,0,2507,5.97,5.97687447848372,0,0,0,0.0,0.0,0,0,,Starostové pro občany
154,51,4,1064,Miloš,Komínek,,,49,OSVČ,Velké Meziříčí,597007,1064,1064,0,564,1.34,1.3446179520801,0,0,0,0.0,0.0,0,0,,"Solidarita, Vlast a Zákon"
155,51,5,659,Jiří,Havlíček,Mgr.,,57,starosta městyse,Krucemburk,568945,721,721,0,1328,3.16,3.16605078078436,0,0,0,0.0,0.0,0,0,,TOP 09 a Starostové
156,51,6,7,Dagmar,Zvěřinová,Ing.,,60,"starostka, senátorka",Žďár nad Sázavou,595209,7,7,0,11636,27.74,27.74108952199308,2,0,9533,46.77,46.7739561356165,0,0,,Česká strana sociálně demokratická
157,51,7,724,Josef,Mička,Ing.,,66,podnikatel,Žďár nad Sázavou,595209,724,724,0,1307,3.11,3.11598521873882,0,0,0,0.0,0.0,0,0,,Strana Práv Občanů
158,51,8,1006,Ivo,Kaštan,,,50,podnikatel a motokrosový závodník,Velké Meziříčí,597007,99,1006,0,844,2.01,2.01215877935391,0,0,0,0.0,0.0,0,0,,Občanská konzervativní strana
159,51,9,80,Petr,Novák,,,66,trenér rychlobruslení,Svratka,596868,99,80,0,4329,10.32,10.32065800452974,0,0,0,0.0,0.0,0,0,,Nezávislí kandidáti
160,51,10,792,Jiří,Nekovář,,,54,hasič - velitel,Žďár nad Sázavou,595209,99,792,0,2205,5.25,5.25688401478126,0,0,0,0.0,0.0,0,0,,Úsvit přímé demokracie
161,51,11,714,Josef,Fendrych,,,43,živnostník,Horní Rožínka,595683,714,714,0,1090,2.59,2.59864107760162,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
162,51,12,1,František,Bradáč,Ing.,,58,manager investic,Velké Meziříčí,597007,1,1,0,8683,20.7,20.7009178686375,2,0,10848,53.22,53.22604386438349,1,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
163,54,1,768,Petr,Firbas,doc. RNDr.,CSc.,62,vysoký úředník OSN,Brno,582786,99,768,0,3347,9.27,9.2753221560205,0,0,0,0.0,0.0,0,0,,ANO 2011
164,54,2,47,Marta,Bayerová,RNDr.,,58,senátorka Parlamentu České republiky,Znojmo,593711,47,47,0,4536,12.57,12.57032007759456,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
165,54,3,1,Jiří,Němec,Ing.,,43,"člen Rady Jihomoravského kraje, zemědělec",Přeskače,550078,1,1,0,6697,18.55,18.55895801579603,2,0,7127,46.12,46.12049440238141,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
