,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
0,30,1,714,Milan,Vodička,Ing.,CSc.,61,soudní znalec,Říčany,538728,714,714,0,191,0.69,0.69953120421916,0,0,0,0.0,0.0,0,0,,Strana svobodných občanů
1,30,2,47,Zdeněk,Levý,,,59,starosta obce Drnek,Drnek,512991,47,47,0,2435,8.91,8.91810723703486,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
2,30,3,696,Karel,Protiva,MUDr.,,59,praktický zubní lékař,Kladno,532053,40,718,0,571,2.09,2.09126867858189,0,0,0,0.0,0.0,0,0,,Lepší Kladno
3,30,4,720,Ivo,Vašíček,PaedDr.,,49,krizový manažer,Praha 4,500119,720,720,0,205,0.75,0.75080574274831,0,0,0,0.0,0.0,0,0,,Česká pirátská strana
4,30,5,759,Jana,Bobošíková,Ing.,,46,"ekonomka, VŠ učitelka",Praha 10,500224,759,759,0,1993,7.29,7.29929680632874,0,0,0,0.0,0.0,0,0,,SUVERENITA - Blok Jany Bobošíkové
5,30,6,7,Jiří,Dienstbier,Mgr.,,41,právník,Praha 2,500089,7,7,0,12088,44.27,44.27190155288602,2,0,13505,65.14,65.14084507042253,1,0,,Česká strana sociálně demokratická
6,30,7,53,Dan,Jiránek,Ing.,,47,primátor,Kladno,532053,53,53,0,7422,27.18,27.1828303545268,2,0,7227,34.85,34.85915492957746,0,0,,Občanská demokratická strana
7,30,8,697,Luděk,Kvapil,,,62,starosta-autor Kmetiněv. výzvy,Kmetiněves,532479,99,166,0,2053,7.51,7.51904482859654,0,0,0,0.0,0.0,0,0,,"""STAROSTOVÉ A NEZÁVISLÍ"" s podporou TOP 09"
8,30,9,1,Miroslav,Rovenský,Mgr.,,46,učitel,Mnichovice,538493,1,1,0,346,1.26,1.26721359507764,0,0,0,0.0,0.0,0,0,,Křesťan.a demokrat.unie-Českosl.strana lidová
9,30,10,80,Miloslava,Chalupová,,,48,uchazeč o zaměstnání,Kladno,532053,99,80,2,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,Nezávislí kandidáti
