,KRZAST,KSTRANA,PORCISLO,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,POCHLASU,POCPROC,POCPROCVSE,MANDAT,PORADIMAND,PORADIHAHR,KRZASTstr_,KSTRANAstr_,VSTRANA,NAZEVCELK,NAZEV_STRK,ZKRATKAK30,ZKRATKAK8,POCSTRVKO,SLOZENI,STAVREG,PLATNOSTstr_,SLOZNEPLAT
0,2,22,14,Pavel,Čech,,,34.0,vedoucí útvaru VT,Borovany,544281.0,764.0,764.0,0,8,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
1,2,22,15,Jaroslav,Hnát,,,43.0,živnostník,České Budějovice,544256.0,764.0,764.0,0,6,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
2,2,22,16,Jiří,Smrž,,,35.0,jednatel společnosti,České Budějovice,544256.0,764.0,764.0,0,5,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
3,2,22,17,Anton,Ivasenko,,,29.0,finanční poradce,Český Krumlov,545392.0,764.0,764.0,0,2,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
4,2,22,18,Michaela,Packová,,,35.0,prodavačka v potravinách,Třeboň,547336.0,764.0,764.0,0,4,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
5,2,22,19,Markéta,Dlouhá,,,33.0,zdravotní sestra,Stráž nad Nežárkou,547221.0,764.0,764.0,0,6,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
6,2,22,20,Elena,Tomášková,Mgr.,,44.0,učitelka,Košice,552585.0,764.0,764.0,0,4,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
7,2,22,21,Karel,Kovář,,,25.0,živnostník,Třeboň,547336.0,764.0,764.0,0,8,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
8,2,22,22,Vendula,Ivanova,,,34.0,speciální přepážkový prac. ČP,Rapšach,547069.0,764.0,764.0,0,3,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
9,2,22,23,Adelína,Kanděrová,,,57.0,invalidní důchodkyně,Suchdol nad Lužnicí,547280.0,764.0,764.0,0,3,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
10,2,22,24,Pavla,Vachová,Mgr.,,32.0,sociální pracovnice,Loučovice,545601.0,99.0,764.0,0,10,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
11,2,22,25,Vendula,Brůžková,,,32.0,dělnice,Suchdol nad Lužnicí,547280.0,764.0,764.0,0,2,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
12,2,22,26,Juliána,Bauer,,,35.0,masérka,Jindřichův Hradec,545881.0,764.0,764.0,0,4,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
13,2,22,27,Jan,Punda,,,69.0,starobní důchodce,Majdalena,546712.0,764.0,764.0,0,1,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
14,2,22,28,Jiří,Pokorný,,,27.0,sportovní manažer,České Budějovice,544256.0,99.0,764.0,0,1,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
15,2,22,29,Jan,Kanděra,,,62.0,starobní důchodce,Velešín,545821.0,764.0,764.0,0,4,0.0,0.0,0.0,0.0,,13,27,587,Koalice Strany soukromníků České republiky a Konzervativní strany,Koalice KONS a SsČR,Koalice KONS a SsČR,KONSSsČR,2,"024,716",0,0,
16,3,77,13,Jiří,Peterka,,,60.0,soukromý zemědělec,Újezd u Svatého Kříže,546551.0,99.0,714.0,0,72,0.0,0.0,0.0,0.0,,3,60,7,Česká strana sociálně demokratická,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,0,0,
17,3,77,14,Radek,Havel,,,36.0,podnikatel,Plzeň,2.0,714.0,714.0,0,38,0.0,0.0,0.0,0.0,,3,60,7,Česká strana sociálně demokratická,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,0,0,
18,3,77,15,Jan,Hrbek,,,24.0,student VŠ,Plzeň,2.0,99.0,714.0,0,27,0.0,0.0,0.0,0.0,,3,60,7,Česká strana sociálně demokratická,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,0,0,
19,3,77,16,Václav,Buchbauer,Ing.,,53.0,jednatel v s.r.o.,Kdyně,553786.0,99.0,714.0,0,25,0.0,0.0,0.0,0.0,,3,60,7,Česká strana sociálně demokratická,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,0,0,
20,3,77,17,David,Tauber,,,26.0,živnostník,Plzeň,2.0,99.0,714.0,0,20,0.0,0.0,0.0,0.0,,3,60,7,Česká strana sociálně demokratická,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,0,0,
21,3,77,18,Jakub,Schön,Ing.,,26.0,system engineer,Plzeň,2.0,714.0,714.0,0,25,0.0,0.0,0.0,0.0,,3,60,7,Česká strana sociálně demokratická,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,0,0,
22,3,77,19,Martin,Kužel,Mgr.,,33.0,programátor,Plzeň,2.0,99.0,714.0,0,46,0.0,0.0,0.0,0.0,,3,60,7,Česká strana sociálně demokratická,Česká strana sociálně demokratická,Česká str.sociálně demokrat.,ČSSD,1,007,0,0,
