,BYDLISTEK,BYDLISTEN,ESTRANA,JMENO,MANDAT,NSTRANA,PLATNOST_x,POCHLASU,POCPROC,POCPROCVSE,PORADIMAND,PORADINAHR,PORCISLO,POVOLANI,PRIJMENI,PSTRANA,STATOBCAN,TITULPRED,TITULZA,VEK,NAZEVCELK,NAZEV_STRE,PLATNOST_y,POCMANDCR,POCSTRVKO,SLOZENI,STAVREG,VSTRANA,ZKRATKAE30,ZKRATKAE8
0,532819,Slaný,1,Vlastimil,0,713,0,3853,0,17.32,0,0,1,poslanec,Tlustý,53,CZ,Ing.,,53,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
1,999995,Brusel,1,Vladimír,0,713,0,7030,0,31.6,0,0,2,europoslanec,Železný,172,CZ,PhDr.,,64,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
2,531979,Zadní Třebaň,1,Jan,0,713,0,1505,0,6.76,0,0,3,poslanec,Schwippel,99,CZ,Ing.,CSc.,42,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
3,3,Brno,1,Andrea,0,713,0,647,0,2.9,0,0,4,ekonomická poradkyně,Hudlíková,713,CZ,Ing.,DiS.,29,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
4,512991,Drnek,1,Luboš,0,713,0,225,0,1.01,0,0,5,zemědělský podnikatel,Vrtilka,99,CZ,Ing.,,46,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
5,3,Brno,1,Ivan,0,713,0,229,0,1.02,0,0,6,lékař,Čundrle,701,CZ,Doc. MUDr.,CSc.,62,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
6,559300,Nýřany,1,Vladimír,0,713,0,52,0,.23,0,0,7,obchodní manažer,Litwan,172,CZ,Mgr.,,48,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
7,567027,Most,1,Miroslav,0,713,0,127,0,.57,0,0,8,ředitel výroby,Líbal,172,CZ,Ing.,,30,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
8,558885,Horní Bříza,1,Alena,0,713,0,99,0,.44,0,0,9,učitelka,Šůmová,172,CZ,Mgr.,,46,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
9,575712,Staré Jesenčany,1,Robert,0,713,0,219,0,.98,0,0,10,vedoucí katedry,Baťa,99,CZ,Ing.,Ph.D.,34,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
10,591459,Přibyslavice,1,Rostislav,0,713,0,82,0,.36,0,0,11,ekonomický poradce,Stráník,99,CZ,Ing.,Ph.D.,29,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
11,4,Ostrava,1,Naděžda,0,713,0,64,0,.28,0,0,12,lékařka,Stauderová,172,CZ,MUDr.,,64,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
12,3,Brno,1,Anna,0,713,0,74,0,.33,0,0,13,právnička,Haisová,172,CZ,JUDr.,,54,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
13,540196,Loštice,1,Ctirad,0,713,0,54,0,.24,0,0,14,starosta,Lolek,99,CZ,PhDr.,,60,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
14,3,Brno,1,Jana,0,713,0,87,0,.39,0,0,15,překladatelka,Kudělková,172,CZ,Mgr.,,29,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
15,565229,Lovosice,1,Vladimír,0,713,0,67,0,.3,0,0,16,místostarosta,John,172,CZ,,,46,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
16,592889,Vyškov,1,Pavel,0,713,0,58,0,.26,0,0,17,učitel,Hanák,172,CZ,Mgr.,,47,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
17,505161,Štěpánov,1,Mojmír,0,713,0,28,0,.12,0,0,18,starosta,Lýsek,99,CZ,,,58,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
18,3,Brno,1,František,0,713,0,55,0,.24,0,0,19,architekt,Kabelka,172,CZ,Ing. Arch.,,50,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
19,562971,Chomutov,1,Otta,0,713,0,22,0,.09,0,0,20,podnikatel,Hercík,172,CZ,,,59,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
20,523704,Šumperk,1,Stanislav,0,713,0,47,0,.21,0,0,21,ekonom,Bartošek,172,CZ,Mgr.,,48,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
21,563889,Liberec,1,Lenka,0,713,0,88,0,.39,0,0,22,studentka,Šašková,172,CZ,,,21,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
22,575712,Staré Jesenčany,1,Stanislav,0,713,0,27,0,.12,0,0,23,soudní překladatel,Baťa,172,CZ,Ing.,,67,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
23,546518,Loučná pod Klínovcem,1,Jan,0,713,0,24,0,.1,0,0,24,obchodní zástupce,Fuka,713,CZ,,,56,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
24,3,Brno,1,Lenka,0,713,0,17,0,.07,0,0,25,učitelka,Malá,172,CZ,Mgr.,,45,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
25,523704,Šumperk,1,Dalibor,0,713,0,9,0,.04,0,0,26,kartograf,Matějíček,172,CZ,Ing.,,49,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
26,599069,Orlová,1,Věra,0,713,0,14,0,.06,0,0,27,důchodkyně,Böhmová,172,CZ,,,74,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
27,523704,Šumperk,1,Miroslav,0,713,0,12,0,.05,0,0,28,podnikatel,Horáček,172,CZ,,,50,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
28,567027,Most,1,Martin,0,713,0,38,0,.17,0,0,29,podnikatel,Fraško,172,CZ,,,39,Libertas.cz,Libertas.cz,0,0,1,713,0,713,Libertas.cz,Libertas
29,1,Praha,2,Zuzana,1,1,0,52503,29.09,29.09,1,0,1,poslankyně EP,Roithová,1,CZ,MUDr.,MBA,56,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
30,505587,Uničov,2,Jan,1,1,0,23154,12.83,12.83,2,0,2,poslanec EP,Březina,1,CZ,Ing.,,55,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
31,592617,Strání,2,Ondřej,0,1,0,5044,0,2.79,0,1,3,"kraj.zastupitel, člen Výb. EU",Benešík,1,CZ,,BBS,32,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
32,1,Praha,2,Marie,0,1,0,2286,0,1.26,0,2,4,poradkyně ministra,Jílková,1,CZ,Mgr.,,31,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
33,2,Plzeň,2,Jaroslav,0,1,0,5377,0,2.97,0,3,5,podnikatel,Lobkowicz,1,CZ,,,66,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
34,3,Brno,2,David,0,1,0,4507,0,2.49,0,4,6,ředitel poradců ministra,Macek,1,CZ,Mgr.,,32,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
35,523704,Šumperk,2,Ivo,0,1,0,1067,0,.59,0,5,7,náměstek ministra dopravy,Vykydal,1,CZ,Ing.,,44,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
36,1,Praha,2,Pavel,0,1,0,5793,0,3.21,0,6,8,lékař-vysokoškolský učitel,Klener,99,CZ,prof. MUDr.,DrSc.,72,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
37,507016,Hlučín,2,Petr,0,1,0,1064,0,.58,0,7,9,projektový manažer,Adamec,1,CZ,Ing.,,50,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
38,1,Praha,2,Pavel,0,1,0,2276,0,1.26,0,8,10,ministr,Svoboda,1,CZ,doc. JUDr.,DEA,47,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
39,507270,Hradec nad Moravicí,2,Josef,0,1,0,984,0,.54,0,9,11,parlamentní zpravodaj,Vícha,1,CZ,,,59,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
40,547794,Hodonín,2,Libor,0,1,0,3345,0,1.85,0,10,12,poslanec PS PČR,Ambrozek,1,CZ,RNDr.,,42,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
41,581879,Kunštát,2,Marie,0,1,0,1382,0,.76,0,11,13,předsedkyně Výboru pro social.,Cacková,1,CZ,JUDr.,,43,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
42,571041,Třebechovice pod Orebem,2,Tomáš,0,1,0,522,0,.28,0,12,14,jednatel společnosti,Zdechovský,1,CZ,Mgr.,,29,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
43,1,Praha,2,Daniel,0,1,0,109,0,.06,0,13,15,doktorand,Feranc,1,CZ,Mgr.,,29,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
