,BYDLISTEK,BYDLISTEN,ESTRANA,JMENO,MANDAT,NSTRANA,PLATNOST_x,POCHLASU,POCPROC,POCPROCVSE,PORADIMAND,PORADINAHR,PORCISLO,POVOLANI,PRIJMENI,PSTRANA,STATOBCAN,TITULPRED,TITULZA,VEK,NAZEVCELK,NAZEV_STRE,PLATNOST_y,POCMANDCR,POCSTRVKO,SLOZENI,STAVREG,VSTRANA,ZKRATKAE30,ZKRATKAE8
44,544566,Nový Hrozenkov,2,Jindřich,0,1,0,734,0,.4,0,14,16,náměstek hejtmana,Ondruš,1,CZ,Ing. Bc.,,44,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
45,501841,Grygov,2,Pavel,0,1,0,541,0,.29,0,15,17,náměstek hejtmana,Horák,1,CZ,Ing.,,44,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
46,549592,Mirovice,2,Marie,0,1,0,411,0,.22,0,16,18,učitelka základní školy,Hrdinová,1,CZ,Ing. Bc.,,41,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
47,596817,Stránecká Zhoř,2,Veronika,0,1,0,330,0,.18,0,17,19,"celní deklarantka, ref. logist",Poulová,1,CZ,,,28,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
48,589250,Prostějov,2,Jitka,0,1,0,909,0,.5,0,18,20,dětská lékařka,Chalánková,1,CZ,MUDr.,,52,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
49,537004,Nymburk,2,Jiří,0,1,0,193,0,.1,0,19,21,ředitel gymnázia,Kuhn,99,CZ,RNDr.,,49,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
50,596230,Nové Město na Moravě,2,Helena,0,1,0,477,0,.26,0,20,22,učitelka,Šustrová,1,CZ,Mgr.,,27,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
51,531405,Kobylnice,2,Lubomír,0,1,0,360,0,.19,0,21,23,stavební inženýr,Šmíd,1,CZ,Ing.,,49,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
52,547794,Hodonín,2,Zdeňka,0,1,0,321,0,.17,0,22,24,referentka evropských projektů,Tesaříková,1,CZ,Ing.,,25,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
53,1,Praha,2,Ludmila,0,1,0,78,0,.04,0,23,25,realitní makléřka,Mojžíšová,99,CZ,,DiS.,27,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
54,3,Brno,2,Jiří,0,1,0,246,0,.13,0,24,26,odborný asistent,Mihola,1,CZ,Mgr.,Ph.D.,37,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
55,579289,Vísky,2,Stanislav,0,1,0,284,0,.15,0,25,27,řed. jednatel spol. starosta,Kamba,1,CZ,Ing.,,52,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
56,593559,Rousínov,2,František,0,1,0,214,0,.11,0,26,28,starosta města,Havíř,1,CZ,,,52,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
57,1,Praha,2,Marie,0,1,0,134,0,.07,0,27,29,asistentka,Heřmánková,99,CZ,,,41,Křesťanská a demokratická unie - Československá strana lidová,Křesťan.a demokrat.unie-Českosl.strana lidová,0,2,1,001,0,1,Křesť.demokr.unie-Čs.str.lid.,KDU-ČSL
58,539571,Průhonice,3,Jana,0,144,1,0,0,0,0,0,1,manažerka projektu,Zachová,144,CZ,,,40,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
59,1,Praha,3,Kateřina,0,144,0,7033,0,12.41,0,0,2,šéfredaktorka,Klasnová,144,CZ,,,31,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
60,586846,Jihlava,3,Libor,0,144,0,1137,0,2,0,0,3,podnikatel,Forman,144,CZ,,,43,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
61,513067,Černotín,3,Lenka,0,144,0,1846,0,3.25,0,0,4,konzultant,Andrýsová,99,CZ,,,24,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
62,1,Praha,3,Marek,0,144,0,613,0,1.08,0,0,5,technický manažer,Kukrle,144,CZ,,,44,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
63,1,Praha,3,Jaroslav,0,144,0,455,0,.8,0,0,6,podnikatel,Škárka,144,CZ,,,38,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
64,1,Praha,3,Karolína,0,144,0,923,0,1.62,0,0,7,právník,Peake,144,CZ,,,33,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
65,578347,Litomyšl,3,Michal,0,144,0,602,0,1.06,0,0,8,ekonom,Pavel,144,CZ,,,30,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
66,574121,Jaroměř,3,Jan,0,144,0,576,0,1.01,0,0,9,"historik, žurnalista",Hrdina,144,CZ,,,28,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
67,538132,Čelákovice,3,Radim,0,144,0,301,0,.53,0,0,10,ekonom,Vysloužil,144,CZ,,,28,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
68,583839,Říčany,3,Josef,0,144,0,242,0,.42,0,0,11,sociolog,Fišer,99,CZ,,,27,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
69,1,Praha,3,Alena,0,144,0,167,0,.29,0,0,12,daňový poradce,Fraňková,144,CZ,,,52,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
70,539139,Černošice,3,Daniela,0,144,0,440,0,.77,0,0,13,ekonom,Göttelová,144,CZ,,,43,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
71,1,Praha,3,Josef,0,144,0,291,0,.51,0,0,14,psycholog,Dobeš,144,CZ,,,45,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
72,1,Praha,3,Marek,0,144,0,89,0,.15,0,0,15,systémový inženýr,Smejkal,99,CZ,,,25,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
73,554723,Plesná,3,Veronika,0,144,0,253,0,.44,0,0,16,regionalistka,Vrbová,99,CZ,,,22,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
74,1,Praha,3,Kateřina,0,144,0,45,0,.07,0,0,17,koordinátor HR,Štylerová,99,CZ,,,29,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
75,1,Praha,3,Markéta,0,144,0,52,0,.09,0,0,18,asistentka ředitele personální,Al-Lamiová,99,CZ,,,25,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
76,563889,Liberec,3,Anna,0,144,0,200,0,.35,0,0,19,admin-managerka,Švejdová,99,CZ,,,28,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
77,536270,Luštěnice,3,Anna,0,144,0,40,0,.07,0,0,20,personalistka,Mlynarčíková,144,CZ,,,30,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
78,563811,Smržovka,3,Kateřina,0,144,0,324,0,.57,0,0,21,zdravotní sestra,Šulcová,99,CZ,,,31,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
79,1,Praha,3,Pavel,0,144,0,72,0,.12,0,0,22,živnostník,Bouda,99,CZ,,,36,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
80,537004,Nymburk,3,Jaroslava,0,144,0,57,0,.1,0,0,23,zvukový technik,Svobodová,99,CZ,,,54,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
81,1,Praha,3,Markéta,0,144,0,72,0,.12,0,0,24,na mateřské dovolené,Ječná,99,CZ,,,31,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
82,535419,Mladá Boleslav,3,Zuzana,0,144,0,72,0,.12,0,0,25,operátor logistiky,Lipková,99,CZ,,,23,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
83,535419,Mladá Boleslav,3,Jiří,0,144,0,113,0,.19,0,0,26,automechanik,Bradáček,99,CZ,,,21,Věci veřejné,Věci veřejné,0,0,1,144,0,144,Věci veřejné,VV
84,1,Praha,4,Jan,1,53,0,65731,8.85,8.85,2,0,1,poslanec EP,Zahradil,53,CZ,Ing.,,46,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
85,4,Ostrava,4,Evžen,1,53,0,104737,14.11,14.11,1,0,2,matematik-analytik,Tošenovský,53,CZ,Ing.,,53,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
86,569810,Hradec Králové,4,Oldřich,1,53,0,11744,0,1.58,3,0,3,poslanec EP,Vlasák,53,CZ,Ing.,,53,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
87,533165,Kolín,4,Milan,1,53,0,7143,0,.96,4,0,4,poslanec EP,Cabrnoch,53,CZ,MUDr.,,46,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
88,595209,Žďár nad Sázavou,4,Ivo,1,53,0,6071,0,.81,5,0,5,poslanec EP,Strejček,53,CZ,PaedDr.,,47,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
89,563102,Kadaň,4,Miroslav,1,53,0,9869,0,1.33,6,0,6,poslanec EP,Ouzký,53,CZ,MUDr.,,50,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
90,1,Praha,4,Edvard,1,53,0,11567,0,1.55,7,0,7,ředit. sekret. předsedy Senátu,Kožušník,53,CZ,,,38,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
91,537454,Lysá nad Labem,4,Hynek,1,53,0,16041,0,2.16,8,0,8,poslanec EP,Fajmon,53,CZ,Mgr.,,41,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
92,1,Praha,4,Andrea,1,53,0,14477,0,1.95,9,0,9,advokát a finanční poradce,Češková,53,CZ,JUDr.,,37,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
93,552046,Tábor,4,Jaroslav,0,53,0,34194,0,4.6,0,1,10,poslanec EP,Zvěřina,53,CZ,Doc. MUDr.,CSc.,66,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
94,554961,Karlovy Vary,4,Werner,0,53,0,2049,0,.27,0,2,11,primátor-Karlovy Vary,Hauptmann,53,CZ,Ing.,,41,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
95,585068,Zlín,4,Tomáš,0,53,0,4137,0,.55,0,3,12,poslanec PS PČR,Úlehla,53,CZ,Mgr.,,44,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
96,590029,Smržice,4,Aleš,0,53,0,3631,0,.48,0,4,13,vysokoškolský profesor,Lebeda,53,CZ,Prof. Ing.,DrSc.,58,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
97,1,Praha,4,Helena,0,53,0,972,0,.13,0,5,14,poslankyně PS PČR,Mallotová,53,CZ,Mgr.,,64,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
98,581186,Vysoké Mýto,4,Josef,0,53,0,7730,0,1.04,0,6,15,rektor University Hradec Král.,Hynek,53,CZ,Doc. RNDr.,"MBA, Ph.D.",43,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
99,4,Ostrava,4,Milan,0,53,0,2575,0,.34,0,7,16,poradce,Balabán,53,CZ,Ing.,,65,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
100,1,Praha,4,Karel,0,53,0,6759,0,.91,0,8,17,odborný lékař a vysokoškolský,Hurt,53,CZ,MUDr.,"MSc.,Ph.D.,DrSc",54,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
101,3,Brno,4,Miloš,0,53,0,2074,0,.27,0,9,18,radní Jihomoravského kraje,Šifalda,53,CZ,RNDr.,,45,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
102,505188,Šternberk,4,Vítězslav,0,53,0,2089,0,.28,0,10,19,"lékař,ředitel Ústavu zdravot.",Vavroušek,53,CZ,MUDr.,MBA,53,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
103,530093,Loket,4,Jaroslav,0,53,0,1162,0,.15,0,11,20,ředitel společn. České lázně,Dolina,53,CZ,,,36,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
104,555134,Pardubice,4,Alexander,0,53,0,1388,0,.18,0,12,21,vysokoškolský profesor,Chlaň,53,CZ,Ing.,Ph.D.,33,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
105,1,Praha,4,Aleš,0,53,0,222,0,.02,0,13,22,zaměstnanec státní správy,Černík,53,CZ,Ing.,,40,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
106,566314,Kryry,4,Kateřina,0,53,0,2427,0,.32,0,14,23,překladatelka a učitelka ciz.,Bartošová,53,CZ,Bc.,,33,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
107,559717,Rokycany,4,Luděk,0,53,0,930,0,.12,0,15,24,senátor PČR,Sefzig,53,CZ,MUDr.,,52,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
108,584291,Břeclav,4,Raymond,0,53,0,1455,0,.19,0,16,25,jednatel společn. a konzultant,Asuquo,53,CZ,Ing.,"Ph.D., MBA",51,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
109,563510,Jablonec nad Nisou,4,Petr,0,53,0,769,0,.1,0,17,26,jednatel společn. a podnikatel,Beitl,53,CZ,Ing.,,42,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
110,1,Praha,4,Petr,0,53,0,2161,0,.29,0,18,27,pedagog VŠ,Sokol,53,CZ,PhDr.,,34,Občanská demokratická strana,Občanská demokratická strana,0,9,1,053,0,53,Občanská demokratická strana,ODS
