,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,POHLAVI,NAZEV_VS
0,1,1,137,Věra,Procházková,MUDr.,,56,"léčebná ředit.nemoc., záchran.",Karlovy Vary,554961,155,137,0,1746,5.21,5.2120958834592,0,0,0,0.0,0.0,0,0,,"Suverenita-blok J.Bobošíkové,str.zdravého rozumu"
1,1,2,53,Josef,Pavel,JUDr.,,58,generální ředitel,Karlovy Vary,554961,53,53,0,5135,15.32,15.32881578554583,2,0,4007,28.24,28.24615818412519,0,0,,Občanská demokratická strana
2,1,3,701,Jaroslav,Žák,MUDr.,,47,lékař,Karlovy Vary,554961,701,701,0,1875,5.59,5.59718200543299,0,0,0,0.0,0.0,0,0,,Doktoři (za uzdravení společnosti)
3,1,4,695,Jiří,Kotek,,,53,"manažer, zemědělský inženýr",Karlovy Vary,554961,702,702,0,4175,12.46,12.46305859876414,0,0,0,0.0,0.0,0,0,,Koalice ALTER. a Občané
4,1,5,725,Ivan,Poustka,MUDr.,,49,lékař - specialista,Karlovy Vary,554961,99,725,0,1616,4.82,4.82402459774918,0,0,0,0.0,0.0,0,0,,Victoria.cz
5,1,6,659,Jan,Horník,,,56,star. města Boží Dar a senátor,Boží Dar,506486,99,166,0,7454,22.25,22.25141048986536,2,0,10179,71.75,71.7538418158748,1,0,,"Koalice ""STAN"" a TOP 09"
6,1,7,144,František,Weiss,Ing.,,48,regionální manager,Sokolov,560286,144,144,0,566,1.68,1.6896026747067,0,0,0,0.0,0.0,0,0,,Věci veřejné
7,1,8,47,Jaroslav,Borka,Mgr.,,57,náměstek hejtmana Karlovar.kr.,Karlovy Vary,554961,47,47,0,4097,12.23,12.23021582733812,0,0,0,0.0,0.0,0,0,,Komunistická strana Čech a Moravy
8,1,9,2,Jaroslav,Rovný,,,62,starosta města,Hroznětín,555185,2,2,0,1791,5.34,5.34642825158959,0,0,0,0.0,0.0,0,0,,Česká strana národně sociální
9,1,10,7,Jiří,Vyvadil,JUDr.,,56,advokát,Praha 10,500224,7,7,0,5044,15.05,15.05716588554882,0,0,0,0.0,0.0,0,0,,Česká strana sociálně demokratická
10,4,1,721,Sáša,Štembera,MUDr.,,60,lékař,Litvínov,567256,99,721,0,2674,7.87,7.87026136096067,0,0,0,0.0,0.0,0,0,,TOP 09
11,4,2,734,Vlastimil,Balín,RSDr.,,59,senátor PČR,Most,567027,99,734,0,1069,3.14,3.14633859194725,0,0,0,0.0,0.0,0,0,,"""Občané městu, město občanům"""
12,4,3,156,Tomáš,Vandas,Bc.,,41,politik,Velká Buková,542563,156,156,0,1744,5.13,5.13303508358841,0,0,0,0.0,0.0,0,0,,Dělnická strana sociální spravedlnosti
