pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
 ,Mlynář,Vladimír, ,1966-01-15,M,
Ing.,Nedvědová,Veronika, ,1962-09-18,Ž,
 ,Němcová,Miroslava, ,1952-11-17,Ž,
JUDr.,Němec,Pavel, ,1971-07-20,M,
MUDr.,Ouzký,Miroslav, ,1958-08-18,M,
Ing.,Páralová,Alena, ,1948-08-11,Ž,
Ing.,Patočka,Jiří, ,1943-05-21,M,12.05.2004
Ing.,Petr,Břetislav, ,1937-01-07,M,
Mgr.,Pícl,Václav, ,1959-12-03,M,
 ,Rozehnal,Aleš, ,1952-11-27,M,
Ing.,Suchánek,Pavel, ,1952-03-31,M,
JUDr.,Svoboda,Cyril, ,1956-11-24,M,
Ing.,Svoboda,Pavel, ,1969-03-09,M,
PhDr.,Šplíchal,Karel, ,1946-11-14,M,
 ,Šustr,Ladislav, ,1944-05-13,M,
Ing.,Talmanová,Lucie, ,1967-08-27,Ž,
Ing.,Urban,Milan, ,1958-10-15,M,
Ing.,Vávra,Eduard, ,1943-08-02,M,
 ,Vlčková,Miroslava, ,1950-11-25,Ž,
 ,Vnouček,František, ,1945-11-16,M,
Ing.,Zahradil,Jan, ,1963-03-20,M,
 ,Zajíček,Tom, ,1948-08-25,M,17.02.2014
Mgr.,Záruba,Bohuslav, ,1940-04-19,M,
Ing.,Říman,Martin, ,1961-05-11,M,
 ,Kavan,Jan, ,1946-10-17,M,
RNDr.,Kužvart,Miloš, ,1960-11-20,M,
 ,Kádner,Tomáš, ,1955-11-22,M,
JUDr.,Vondruška,Josef, ,1948-02-12,M,
Ing.,Rusnok,Jiří, ,1960-10-16,M,
JUDr.,Grospič,Stanislav, ,1964-07-25,M,
Ing.,Lachnit,Petr,CSc.,1949-12-30,M,
Mgr.,Fajmon,Hynek, ,1968-05-17,M,
Ing.,Tvrdík,Jaroslav, ,1968-09-11,M,
ThMgr.,Karásek,Svatopluk, ,1942-10-18,M,
JUDr.,Ibl,Petr, ,1954-05-16,M,
Ing.,Kučera,Miloslav, ,1956-10-04,M,
Mgr.,Nováková,Eva, ,1955-07-29,Ž,04.01.2007
Ing.,Svoboda,Miroslav, ,1962-03-30,M,
