pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
Ing.,Bachna,Petr, ,1948-01-08,M,
Ing.,Bečvář,Ivan, ,1934-01-19,M,
 ,Bejček,Josef, ,1935-03-03,M,
 ,Benda,Marek, ,1968-11-10,M,
Ing.,Bělehrádek,Stanislav, ,1943-12-10,M,
JUDr.,Bílý,Jiří, ,1952-10-18,M,
 ,Blažek,Ladislav, ,1950-02-23,M,
 ,Bláha,Jan, ,1955-03-17,M,
 ,Body,Ladislav, ,1949-05-02,M,
Ing.,Brodský,Petr, ,1944-09-29,M,
Ing.,Broulík,Jaroslav, ,1950-06-25,M,
Ing.,Brožík,František, ,1955-03-04,M,
Ing.,Budinský,Vladimír, ,1959-11-25,M,
Mgr.,Bumbová,Stanislava, ,1948-09-08,Ž,
MUDr.,Bureš,Eduard, ,1942-02-24,M,
JUDr.,Buzková,Petra, ,1965-12-07,Ž,
JUDr.,Čapek,Miroslav, ,1961-09-20,M,
Ing.,Čechák,Vojtěch, ,1947-06-28,M,
PaedDr.,Čelišová,Květoslava, ,1946-04-11,Ž,
MUDr.,Čerbák,Miroslav, ,1936-02-23,M,
MUDr.,Čermák,Petr,CSc.,1953-01-22,M,
MVDr.,Černý,Jan, ,1959-04-23,M,
Ing.,Červinka,Josef, ,1951-10-21,M,
 ,Čundrle,Václav, ,1944-04-07,M,
Ing.,Decker,Jan,CSc.,1962-04-18,M,
Ing.,Dobal,Viktor, ,1947-03-11,M,
MUDr.,Dostál,Robert,CSc.,1928-10-04,M,
Ing.,Doubrava,Vlastimil, ,1945-09-04,M,
Ing.,Drápela,Jiří, ,1946-11-06,M,
Ing.,Effenberger,Josef, ,1934-11-20,M,
RNDr.,Exner,Václav,CSc.,1942-09-20,M,
Ing.,Faifr,Jiří, ,1962-10-12,M,
 ,Fejfar,Ota, ,1960-06-05,M,
 ,Fejfar,Tomáš, ,1951-05-16,M,
 ,Fischerová,Eva, ,1935-02-08,Ž,
 ,Frank,Václav, ,1944-04-01,M,
 ,Frommer,Alfred, ,1943-08-07,M,
PhDr.,Gjurič,Andrej, ,1938-11-29,M,
JUDr.,Gross,Stanislav, ,1969-10-30,M,15.04.2015
PhDr.,Grulich,Václav, ,1932-05-08,M,
 ,Haringer,Jiří, ,1939-04-14,M,
Ing.,Hába,René, ,1965-03-06,M,
JUDr.,Hájek,Jiří, ,1951-07-30,M,
Ing.,Hájek,Josef, ,1945-01-07,M,
Dr. Ing.,Hirš,Pavel,CSc.,1942-01-11,M,
RNDr.,Hofhanzl,Čestmír, ,1941-10-09,M,
Ing.,Holub,Josef, ,1951-09-12,M,
Mgr.,Honajzer,Jiří, ,1955-09-18,M,
JUDr.,Hrazdíra,Antonín, ,1940-07-03,M,
Ing.,Hrdý,Karel, ,1942-09-07,M,
PhDr.,Hubová,Marta, ,1945-10-19,Ž,
Doc. Ing.,Hurta,Josef,CSc.,1936-02-24,M,
 ,Chudoba,Martin, ,1969-09-13,M,
MUDr.,Janeček,Josef, ,1952-12-12,M,
