pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
 ,Benda,Marek, ,1968-11-10,M,
Ing.,Klučka,Václav, ,1953-07-20,M,
RNDr.,Nečas,Petr, ,1964-11-19,M,
Ing.,Orgoníková,Hana, ,1946-12-08,Ž,05.06.2014
doc. MUDr.,Emmerová,Milada,CSc.,1944-11-04,Ž,
JUDr.,Hulinský,Petr,Ph.D.,1967-08-25,M,
Ing.,Skopal,Ladislav, ,1958-09-25,M,
Mgr.,Sobotka,Bohuslav, ,1971-10-23,M,
Ing.,Škromach,Zdeněk, ,1956-12-31,M,
PhDr.,Zaorálek,Lubomír, ,1956-09-06,M,
Mgr.,Horníková,Zdeňka, ,1952-12-06,Ž,
Ing.,Papež,Jiří, ,1965-10-20,M,
Ing.,Plachý,Jaroslav, ,1952-03-04,M,
Mgr.,Vidím,Jan, ,1964-06-25,M,
JUDr.,Filip,Vojtěch, ,1955-01-13,M,
doc. PhDr.,Grebeníček,Miroslav,CSc.,1947-03-21,M,
Ing.,Kováčik,Pavel, ,1955-07-02,M,
JUDr.,Bebarová Rujbrová,Zuzka, ,1951-01-13,Ž,
JUDr.,Parkanová,Vlasta, ,1951-11-21,Ž,
PhDr.,Bartoš,Walter,"Ph.D., MBA",1961-04-23,M,
Ing.,Bendl,Petr, ,1966-01-24,M,
 ,Černý,Karel, ,1965-01-12,M,
 ,Doktor,Michal, ,1967-10-02,M,
Ing.,Hojda,Pavel, ,1952-11-02,M,
Ing.,Kalousek,Miroslav, ,1960-12-17,M,
JUDr.,Křeček,Stanislav, ,1938-05-20,M,
Ing.,Lobkowicz,Jaroslav, ,1942-08-16,M,
 ,Němcová,Miroslava, ,1952-11-17,Ž,
Ing.,Petr,Břetislav, ,1937-01-07,M,
Ing.,Suchánek,Pavel, ,1952-03-31,M,
Ing.,Urban,Milan, ,1958-10-15,M,
Mgr.,Dienstbier,Jiří, ,1969-05-27,M,
Mgr.,Gandalovič,Petr, ,1964-08-15,M,
JUDr.,Grospič,Stanislav, ,1964-07-25,M,
Ing.,Svoboda,Miroslav, ,1962-03-30,M,
Ing.,Dolejš,Jiří, ,1961-01-24,M,
Ing.,Vostrá,Miloslava, ,1965-05-26,Ž,
RSDr.,Braný,Petr, ,1951-05-25,M,
Ing.,Votava,Václav, ,1956-06-18,M,
JUDr.,Pospíšil,Jiří, ,1975-11-24,M,
Mgr.,Levá,Ivana, ,1950-06-16,Ž,
MUDr.,Krákora,Jaroslav, ,1955-10-25,M,
Ing.,Šenfeld,Josef, ,1961-11-13,M,
Mgr.,Marková,Soňa, ,1963-02-25,Ž,
Ing.,Váňa,Miroslav, ,1961-03-08,M,
Ing.,Zgarba,Petr, ,1959-09-18,M,
JUDr.,Rusová,Marie, ,1950-12-04,Ž,
JUDr.,Hašek,Michal, ,1976-04-17,M,
Ing. arch.,Mencl,Václav, ,1943-04-05,M,
Mgr.,Šeich,David, ,1976-12-09,M,
RSDr.,Černý,Alexander, ,1953-05-21,M,
Ing.,Seďa,Antonín, ,1960-12-12,M,
 ,Smýkal,Josef, ,1954-11-07,M,
RNDr.,Koníček,Vladimír, ,1964-02-23,M,
Ing.,Michalík,Alfréd, ,1944-08-25,M,
Ing.,Konečná,Kateřina, ,1981-01-20,Ž,
RSDr.,Opálka,Miroslav, ,1952-10-09,M,
PhDr.,Böhnisch,Robin, ,1976-11-23,M,
MUDr.,Kochan,Jozef, ,1946-03-17,M,
 ,Tluchoř,Petr, ,1968-01-06,M,
Ing.,Bauer,Jan, ,1969-04-27,M,
Mgr.,Bublan,František, ,1951-01-13,M,
Ing.,Paroubek,Jiří, ,1952-08-21,M,
Mgr.,Jandák,Vítězslav, ,1947-08-03,M,
MUDr.,Rath,David, ,1965-12-25,M,
 ,Zapletal,Cyril, ,1949-07-15,M,
MUDr.,Koskuba,Jiří, ,1955-12-14,M,
Bc.,Šnajdr,Marek, ,1975-01-06,M,
Ing.,Babor,Jan, ,1948-11-04,M,
Mgr.,Boháč,Zdeněk, ,1958-03-11,M,
MVDr.,Bohatec,Pavel, ,1962-01-10,M,
Mgr.,Bohdalová,Vlasta, ,1957-09-18,Ž,
Ing.,Dědič,František, ,1963-03-07,M,
 ,Dolejš,Richard, ,1970-08-13,M,
Ing.,Fiala,Radim, ,1969-07-24,M,
 ,Filipi,Dana, ,1970-02-02,Ž,
PaedDr.,Halíková,Milada, ,1950-01-06,Ž,
 ,Hamáček,Jan, ,1978-11-04,M,
Ing.,Kalábková,Gabriela, ,1976-04-24,Ž,
Ing.,Krátký,Jiří, ,1945-02-14,M,
Ing.,Krupka,Jaroslav, ,1957-09-08,M,
 ,Látka,Jan, ,1954-04-05,M,
Ing.,Laudát,František, ,1960-03-13,M,
Ing.,Lesenská,Vladimíra, ,1964-05-28,Ž,
Ing.,Novosad,František, ,1948-05-22,M,
prof. RNDr.,Ohlídal,Ivan,DrSc.,1945-04-25,M,
Ing.,Petrů,Jiří, ,1956-08-17,M,
 ,Ploc,Pavel, ,1964-06-15,M,
Mgr.,Rádl,Aleš, ,1966-04-13,M,
Ing.,Sivera,František, ,1967-01-29,M,
 ,Svoboda,Pavel, ,1953-11-01,M,
Ing.,Šidlo,Karel, ,1957-11-01,M,
Ing.,Šincl,Ladislav, ,1965-09-20,M,
 ,Šlajs,Václav, ,1952-08-07,M,
MUDr.,Šťastný,Boris, ,1970-04-08,M,
JUDr.,Tejc,Jeroným, ,1977-08-23,M,
Mgr.,Úlehla,Tomáš, ,1965-01-14,M,
Ing.,Vilímec,Vladislav, ,1963-07-05,M,
Ing.,Pecina,Martin,MBA,1968-07-09,M,
 ,Schwarzenberg,Karel, ,1937-12-10,M,
Ing.,Jeník,Miroslav, ,1960-03-07,M,
MUDr.,Adam,Vojtěch, ,1950-09-12,M,
 ,Husák,Jan, ,1958-09-13,M,
Ing.,Šulc,Jiří, ,1958-06-24,M,
 ,Velebný,Ladislav, ,1957-04-11,M,
Ing.,Andrýsová,Lenka, ,1984-06-28,Ž,
MUDr.,Antonín,Pavel, ,1962-06-05,M,
 ,Babák,Michal, ,1975-06-27,M,
JUDr.,Bárta,Vít, ,1973-12-05,M,
Ing.,Baštýř,Václav, ,1962-03-28,M,
MUDr.,Bém,Pavel, ,1963-07-18,M,
MUDr.,Besser,Jiří, ,1957-08-04,M,
Mgr.,Bezecný,Zdeněk,Ph.D.,1971-12-01,M,
Ing.,Bubeníková,Ludmila, ,1955-02-24,Ž,
Ing.,Bureš,Jan, ,1974-03-31,M,
prof. Ing.,Cempírek,Václav,Ph.D.,1954-05-06,M,
Mgr.,Cogan,Josef, ,1973-08-26,M,
Mgr.,Čechlovský,Jan, ,1974-10-04,M,
Mgr.,Černochová,Jana, ,1973-10-26,Ž,
Mgr.,Dobeš,Josef, ,1964-02-28,M,
Dr. Ing.,Drábek,Jaromír, ,1965-03-05,M,
Mgr.,Drastichová,Jana, ,1976-12-13,Ž,
Mgr.,Drobil,Pavel, ,1971-10-18,M,
 ,Eček,Jaroslav, ,1970-04-26,M,
Mgr.,Farský,Jan, ,1979-07-11,M,
 ,Florián,Jan, ,1975-01-07,M,
 ,Foldyna,Jaroslav, ,1960-06-26,M,
MUDr.,Fraňková,Štěpánka, ,1965-06-30,Ž,
Ing.,Fuksa,Ivan, ,1963-07-15,M,
Mgr.,Gazdík,Petr, ,1974-06-26,M,
MUDr.,Gregora,Martin, ,1965-04-10,M,
Mgr.,Hanáková,Alena, ,1958-09-01,Ž,
doc. MUDr.,Heger,Leoš,CSc.,1948-02-11,M,
MUDr.,Holík,Pavel, ,1957-05-23,M,
Mgr.,Horáček,Václav, ,1956-08-17,M,
 ,Hubáčková,Gabriela, ,1975-01-28,Ž,
Mgr.,Huml,Stanislav, ,1955-07-30,M,
MUDr.,Chalánková,Jitka, ,1957-03-23,Ž,
 ,Chaloupka,Otto, ,1960-09-03,M,
Mgr.,Chalupa,Tomáš, ,1974-07-03,M,
 ,Chlad,Rudolf, ,1947-12-24,M,
JUDr.,Chvojka,Jan, ,1980-12-17,M,
 ,Jalowiczor,Petr, ,1973-11-15,M,07.02.2012
MUDr.,Janek,Michal, ,1948-12-21,M,
Mgr.,Jeništa,Luděk, ,1961-08-08,M,
PaedDr.,Jirků,Ladislav, ,1946-06-04,M,
Ing.,Jirout,Radim,MBA,1971-04-06,M,
Mgr.,John,Radek, ,1954-12-06,M,
 ,Kádner,David, ,1976-10-12,M,
Mgr.,Klán,Jan, ,1982-11-29,M,
ThDr.,Klasnová,Kateřina, ,1977-10-14,Ž,
Mgr.,Kočí,Kristýna, ,1985-01-20,Ž,
 ,Kohoutová,Lenka, ,1967-12-07,Z,
