pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
Ing.,Palas,Jaroslav, ,1952-10-02,M,
doc. MUDr.,Emmerová,Milada,CSc.,1944-11-04,Ž,
Ing.,Škromach,Zdeněk, ,1956-12-31,M,
Mgr.,Martínek,Radko, ,1956-06-06,M,
Mgr.,Dienstbier,Jiří, ,1969-05-27,M,
RNDr.,Vystrčil,Miloš, ,1960-08-10,M,
MUDr. Mgr.,Plaček,Vladimír, ,1965-05-29,M,
Ing.,Bratský,Petr, ,1955-04-08,M,
Mgr.,Bublan,František, ,1951-01-13,M,
Ing.,Kratochvíle,Karel, ,1958-04-27,M,
Ing.,Carbol,Jiří, ,1959-02-04,M,
 ,Látka,Jan, ,1954-04-05,M,
Ing.,Tesařík,Martin, ,1954-07-03,M,
 ,Čunek,Jiří, ,1959-02-22,M,
Mgr.,Eybert,Pavel, ,1900-01-01,M,
 ,Štěch,Milan, ,1900-01-01,M,
MUDr.,Sobotka,Přemysl, ,1900-01-01,M,
RNDr.,Seitlová,Jitka, ,1900-01-01,Z,
 ,Doubrava,Jaroslav, ,1900-01-01,M,
Ing. arch.,Filipiová,Daniela, ,1957-08-09,Z,
 ,Kubera,Jaroslav, ,1900-01-01,M,
Ing.,Bárek,Ivo, ,1900-01-01,M,
Ing.,Horník,Jan, ,1900-01-01,M,
Ing.,Jirsa,Tomáš, ,1900-01-01,M,
 ,Oberfalzer,Jiří, ,1900-01-01,M,
PhDr.,Grulich,Tomáš, ,1900-01-01,M,
PhDr.,Jermář,Jaromír, ,1956-10-02,M,
Ing.,Hajda,Jan, ,1900-01-01,M,
 ,Sekaninová,Božena, ,1900-01-01,Z,
Ing.,Vícha,Petr, ,1900-01-01,M,
PaedDr.,Homolka,Václav, ,1955-01-06,M,
Mgr.,Nenutil,Miroslav, ,1900-01-01,M,
JUDr.,Antl,Miroslav, ,1955-02-21,M,
MUDr.,Sušil,Radek, ,1900-01-01,M,
Ing.,Juránek,Stanislav, ,1956-01-24,M,
Ing.,Besta,Zdeněk, ,1948-05-02,M,
Mgr.,Jeništa,Luděk, ,1961-08-08,M,
prof. MUDr.,Žaloudík,Jan,CSc.,1900-01-01,M,
Mgr.,Malý,Miloš, ,1900-01-01,M,
MUDr.,Dernerová,Alena, ,1958-09-13,Ž,
 ,Gawlas,Petr, ,1900-01-01,M,
Mgr.,Horská,Miluše, ,1900-01-01,Ž,
Ing.,Maštalíř,Antonín, ,1900-01-01,M,
PhDr.,Pešák,Milan, ,1900-01-01,M,
 ,Regec,Jozef, ,1900-01-01,M,
Ing.,Strnad,Jaromír, ,1900-01-01,M,
Ing.,Šilar,Petr, ,1900-01-01,M,
Ing.,Táborský,Josef, ,1900-01-01,M,
 ,Terelmešová,Dagmar, ,1900-01-01,Ž,
Ing.,Vrecionová,Veronika, ,1900-01-01,Ž,
Ing.,Berka,Zdeněk, ,1900-01-01,M,
Mgr. Bc.,Brož,Zdeněk, ,1900-01-01,M,
Bc.,Franc,Lubomír, ,1900-01-01,M,
MUDr.,Mezian,Hassan, ,1900-01-01,M,
Mgr.,Michálek,Libor,MPA,1900-01-01,M,
Ing.,Sulovský,Leopold, ,1954-05-01,M,
prof. MUDr.,Syková,Eva,DrSc. FCMA,1900-01-01,Ž,
Mgr.,Šesták,Jiří, ,1900-01-01,M,
Ing.,Veleba,Jan, ,1900-01-01,M,
JUDr.,Wagnerová,Eliška,Ph.D.,1900-01-01,Ž,
 ,Zeman,Jaroslav, ,1900-01-01,M,
Bc.,Kunčar,Patrik, ,1900-01-01,M,
Ing.,Aschenbrenner,Lumír, ,1900-01-01,M,
Ing.,Baudyšová,Zuzana, ,1900-01-01,Ž,
Ing.,Bradáč,František, ,1900-01-01,M,
Ing.,Burian,Jiří, ,1900-01-01,M,
 ,Cabrnochová,Ivana, ,1900-01-01,Ž,
doc. Ing.,Čuba,František,CSc.,1900-01-01,M,
Mgr.,Hamousová,Zdeňka, ,1900-01-01,Ž,
prof. RNDr.,Hampl,Václav,DrSc.,1900-01-01,M,
Ing.,Hlavatý,Jiří, ,1900-01-01,M,
doc. MUDr.,Koliba,Peter,CSc.,1900-01-01,M,
Mgr.,Láska,Václav, ,1900-01-01,M,
Ing.,Linhart,Zbyněk, ,1900-01-01,M,
prof. MUDr.,Malý,Jaroslav,CSc.,1900-01-01,M,
PhDr.,Papoušek,Zdeněk, ,1900-01-01,M,
MUDr.,Šromová,Alena, ,1900-01-01,Ž,
Ing.,Štohl,Pavel, ,1900-01-01,M,
 ,Třísková,Emilie, ,1900-01-01,Ž,
 ,Valenta,Ivo, ,1900-01-01,M,
 ,Vosecký,Jiří, ,1900-01-01,M,
