pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
 ,Benda,Marek, ,1968-11-10,M,
Ing.,Klučka,Václav, ,1953-07-20,M,
Mgr.,Sobotka,Bohuslav, ,1971-10-23,M,
PhDr.,Zaorálek,Lubomír, ,1956-09-06,M,
JUDr.,Filip,Vojtěch, ,1955-01-13,M,
doc. PhDr.,Grebeníček,Miroslav,CSc.,1947-03-21,M,
Ing.,Kováčik,Pavel, ,1955-07-02,M,
JUDr.,Bebarová Rujbrová,Zuzka, ,1951-01-13,Ž,
Ing.,Bendl,Petr, ,1966-01-24,M,
 ,Černý,Karel, ,1965-01-12,M,
Ing.,Kalousek,Miroslav, ,1960-12-17,M,
Ing.,Lobkowicz,Jaroslav, ,1942-08-16,M,
 ,Němcová,Miroslava, ,1952-11-17,Ž,
Ing.,Urban,Milan, ,1958-10-15,M,
MgA.,Stropnický,Martin, ,1956-12-19,M,
Bc.,Adámek,František, ,1955-02-28,M,
JUDr.,Grospič,Stanislav, ,1964-07-25,M,
Ing.,Dolejš,Jiří, ,1961-01-24,M,
Ing.,Vostrá,Miloslava, ,1965-05-26,Ž,
Ing.,Mládek,Jan,CSc.,1960-06-01,M,
Ing.,Votava,Václav, ,1956-06-18,M,
JUDr.,Pospíšil,Jiří, ,1975-11-24,M,
MUDr.,Krákora,Jaroslav, ,1955-10-25,M,
Ing.,Šenfeld,Josef, ,1961-11-13,M,
Mgr.,Marková,Soňa, ,1963-02-25,Ž,
JUDr.,Hašek,Michal, ,1976-04-17,M,
RSDr.,Černý,Alexander, ,1953-05-21,M,
Ing.,Seďa,Antonín, ,1960-12-12,M,
RNDr.,Koníček,Vladimír, ,1964-02-23,M,
Ing.,Hovorka,Ludvík, ,1963-06-13,M,
Ing.,Konečná,Kateřina, ,1981-01-20,Ž,
RSDr.,Opálka,Miroslav, ,1952-10-09,M,
PhDr.,Böhnisch,Robin, ,1976-11-23,M,
Mgr.,Jandák,Vítězslav, ,1947-08-03,M,
MUDr.,Koskuba,Jiří, ,1955-12-14,M,
Mgr.,Bohdalová,Vlasta, ,1957-09-18,Ž,
 ,Dolejš,Richard, ,1970-08-13,M,
Ing.,Fiala,Radim, ,1969-07-24,M,
PaedDr.,Halíková,Milada, ,1950-01-06,Ž,
 ,Hamáček,Jan, ,1978-11-04,M,
Ing.,Laudát,František, ,1960-03-13,M,
Ing.,Petrů,Jiří, ,1956-08-17,M,
 ,Ploc,Pavel, ,1964-06-15,M,
Mgr.,Snopek,Václav,CSc.,1951-08-20,M,
Ing.,Šidlo,Karel, ,1957-11-01,M,
Ing.,Šincl,Ladislav, ,1965-09-20,M,
JUDr.,Tejc,Jeroným, ,1977-08-23,M,
Ing.,Vilímec,Vladislav, ,1963-07-05,M,
 ,Schwarzenberg,Karel, ,1937-12-10,M,
Mgr.,Adamec,Ivan, ,1960-03-21,M,
prof. RNDr.,Zlatuška,Jiří,CSc.,1957-09-15,M,
MUDr.,Adam,Vojtěch, ,1950-09-12,M,
RNDr.,Zahradník,Jan, ,1949-03-23,M,
 ,Velebný,Ladislav, ,1957-04-11,M,
MUDr.,Antonín,Pavel, ,1962-06-05,M,
Mgr.,Bezecný,Zdeněk,Ph.D.,1971-12-01,M,
Mgr.,Černochová,Jana, ,1973-10-26,Ž,
Mgr.,Farský,Jan, ,1979-07-11,M,
 ,Foldyna,Jaroslav, ,1960-06-26,M,
Mgr.,Gazdík,Petr, ,1974-06-26,M,
doc. MUDr.,Heger,Leoš,CSc.,1948-02-11,M,
MUDr.,Holík,Pavel, ,1957-05-23,M,
Mgr.,Horáček,Václav, ,1956-08-17,M,
 ,Hubáčková,Gabriela, ,1975-01-28,Ž,
Mgr.,Huml,Stanislav, ,1955-07-30,M,
MUDr.,Chalánková,Jitka, ,1957-03-23,Ž,
JUDr.,Chvojka,Jan, ,1980-12-17,M,
 ,Kádner,David, ,1976-10-12,M,
Mgr.,Klán,Jan, ,1982-11-29,M,
Ing.,Matušovská,Květa, ,1984-06-04,Ž,
PhDr.,Korte,Daniel, ,1953-02-26,M,
prof. MUDr.,Kostřica,Rom,CSc.,1949-03-13,M,
Mgr.,Langšádlová,Helena, ,1963-10-14,Ž,
RSDr.,Nekl,Josef, ,1953-05-28,M,
MUDr.,Pecková,Gabriela, ,1957-01-19,Ž,
JUDr.,Polčák,Stanislav, ,1980-02-21,M,
doc. RNDr.,Putnová,Anna,"Ph.D., MBA",1960-07-24,Ž,
Ing.,Rykala,Adam, ,1986-09-03,M,
Mgr.,Semelová,Marta, ,1960-03-01,Ž,
PharmDr.,Skalický,Jiří,Ph.D.,1954-08-03,M,
Mgr.,Sklenák,Roman, ,1970-07-23,M,
Ing.,Stanjura,Zbyněk, ,1964-02-15,M,
MUDr.,Štětina,Jiří, ,1941-08-09,M,
Mgr.,Váhalová,Dana, ,1966-05-28,Ž,
Ing.,Váňa,Roman, ,1966-11-01,M,
Mgr.,Zemánek,Jiří, ,1965-01-03,M,
Ing.,Zemek,Václav, ,1974-04-13,M,
Ing.,Fischerová,Jana,CSc.,1955-08-20,Ž,
PaedDr.,Novotný,Josef, ,1952-12-14,M,
 ,Strnadlová,Miroslava, ,1954-11-20,Ž,
MUDr.,Běhounek,Jiří, ,1952-05-13,M,
Doc. MUDr.,Svoboda,Bohuslav,CSc.,1944-02-08,M,
Prof. PhDr.,Fiala,Petr,"Ph.D., LL.M.",1964-09-01,M,
JUDr.,Blažek,Pavel,Ph.D.,1969-04-08,M,
 ,Okamura,Tomio, ,1972-07-04,M,
Mgr.,Jakubčík,Igor, ,1967-05-12,M,
Mgr.,Podivínský,Tomáš Jan, ,1969-11-21,M,
Mgr.,Benešová,Marie, ,1948-04-17,Ž,
prof. RNDr.,Vácha,František,Ph.D.,1966-09-11,M,
MVDr.,Bělobrádek,Pavel,"Ph.D., MPA",1976-12-25,M,
Ing.,Hájek,Josef, ,1956-07-03,M,
PhDr.,Komárek,Martin, ,1961-02-13,M,
 ,Havlová,Olga, ,1953-07-25,Ž,
Mgr.,Herman,Daniel, ,1963-04-28,M,
Mgr.,Berkovec,Stanislav, ,1956-05-31,M,
Ing.,Šrámek,Pavel,MBA,1965-03-25,M,
Ing. Mgr.,Šarapatka,Milan,Ph.D.,1955-12-05,M,
Mgr.,Adam,Petr, ,1982-08-12,M,
Ing.,Adamová,Markéta, ,1984-10-02,Ž,
PaedDr. Mgr.,Andrle Sylor,Augustin Karel, ,1946-10-25,M,
Ing.,Aulická Jírovcová,Hana, ,1981-04-07,Ž,
Ing.,Babiš,Andrej, ,1954-09-02,M,
 ,Babiš,Miloš, ,1960-05-12,M,
doc. RNDr.,Bačiak,Miloslav,Ph.D.,1952-10-28,M,
 ,Sedlář,Martin, ,1972-12-21,M,
PhDr.,Ženíšek,Marek,Ph.D.,1978-11-26,M,
Mgr.,Zimola,Jiří, ,1971-03-28,M,
Ing.,Zelienková,Kristýna, ,1974-08-06,Ž,
 ,Zavadil,Jaroslav, ,1944-04-12,M,
prof. Ing.,Rais,Karel,"CSc., MBA",1949-10-14,M,
 ,Zahradníček,Josef, ,1957-03-18,M,
Bc.,Wernerová,Markéta, ,1983-08-02,Ž,
prof. MUDr.,Vyzula,Rostislav,CSc.,1952-12-03,M,
Ing.,Vozka,Vlastimil, ,1954-03-20,M,
Ing.,Vozdecký,Josef, ,1945-01-22,M,
Ing.,Vondrášek,Josef, ,1950-07-25,M,
Mgr.,Vondráček,Radek, ,1973-12-30,M,
Ing.,Volný,Jan, ,1959-06-15,M,
MUDr.,Volčík,Pavel, ,1950-09-07,M,
prof. JUDr.,Válková,Helena,CSc.,1951-01-07,Ž,
PhDr. Ing.,Valenta,Jiří, ,1965-12-28,M,
Ing.,Uhlík,Josef, ,1963-02-27,M,
MUDr.,Plzák,Pavel, ,1960-08-18,M,
 ,Okleštěk,Ladislav, ,1961-03-10,M,
Ing.,Nytrová,Pavlína, ,1968-03-06,Ž,
MUDr.,Nykl,Igor, ,1963-09-11,M,
 ,Novotný,Martin, ,1972-01-21,M,
Mgr.,Nováková,Nina, ,1954-03-14,Ž,
 ,Balaštíková,Margita, ,1967-09-16,Ž,
Ing.,Bartošek,Jan, ,1971-11-10,M,
Mgr.,Benešík,Ondřej, ,1976-06-27,M,
Mgr.,Berdychová,Martina, ,1971-04-29,Ž,
Ing.,Beznoska,Adolf, ,1961-12-25,M,
 ,Birke,Jan, ,1969-06-01,M,
Mgr.,Borka,Jaroslav, ,1952-10-18,M,
Mgr.,Brabec,Richard, ,1966-07-05,M,
MUDr.,Brázdil,Milan, ,1962-11-05,M,
 ,Černoch,Marek, ,1969-08-11,M,
Ing.,Čihák,Pavel, ,1960-01-22,M,
