pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
Ing.,Číp,René, ,1974-12-10,M,
PaedDr.,Dobešová,Ivana, ,1960-07-12,Ž,
Ing.,Faltýnek,Jaroslav, ,1962-04-28,M,
Ing.,Fiedler,Karel, ,1961-12-31,M,
PhDr. Ing.,Fichtner,Matěj,MBA,1984-06-02,M,
PhDr.,Gabal,Ivan, ,1951-01-15,M,
MUDr.,Havíř,Pavel, ,1955-02-21,M,
 ,Hnyková,Jana, ,1963-12-06,Ž,
Bc.,Holeček,Jiří, ,1972-04-26,M,
Mgr. Bc.,Holeček,Radim, ,1976-06-21,M,
Ing.,Holík,Jaroslav, ,1953-06-29,M,
Ing.,Chalupa,Bohuslav, ,1960-06-15,M,
 ,Chovanec,Milan, ,1970-01-31,M,
MUDr.,Janulík,Miloslav, ,1962-09-21,M,
Ing.,Pokorná Jermanová,Jaroslava, ,1970-08-17,Ž,
Mgr. et Mgr.,Jourová,Věra, ,1964-08-18,Ž,
Mgr.,Junek,Jiří, ,1973-11-25,M,
Ing.,Jurečka,Marian, ,1981-03-15,M,
Bc.,Kailová,Zuzana, ,1974-07-21,Ž,
MUDr.,Kaňkovský,Vít, ,1970-02-05,M,
prof. Ing.,Karamazov,Simeon,Dr.,1963-12-19,M,
MUDr.,Kasal,David, ,1969-01-01,M,
Ing. arch.,Klaška,Jaroslav, ,1962-06-28,M,
Ing.,Kolovratník,Martin, ,1975-04-11,M,
Mgr.,Kořenek,Petr, ,1966-08-23,M,
Mgr.,Koubek,Jiří, ,1976-05-28,M,
Ing.,Kovářová,Věra, ,1964-01-20,Ž,
Ing.,Kubíček,Roman,Ph.D.,1963-05-06,M,
Ing.,Kučera,Michal, ,1968-10-04,M,
Ing.,Kudela,Petr, ,1969-03-10,M,
 ,Lank,Martin, ,1976-08-10,M,
 ,Lorencová,Jana, ,1940-04-02,Ž,
Bc.,Mackovík,Stanislav, ,1967-03-11,M,
Ing.,Maxová,Radka, ,1968-12-02,Ž,
Mgr.,Mihola,Jiří,Ph.D.,1972-06-01,M,
 ,Nohavová,Alena, ,1960-04-07,Ž,
JUDr. PhDr.,Ondráček,Zdeněk,Ph.D.,1969-07-28,M,
Mgr.,Pastuchová,Jana, ,1965-07-21,Ž,
 ,Sedláček,Jan, ,1979-06-08,M,
Mgr.,Pavera,Herbert, ,1958-01-04,M,
Ing.,Pěnčíková,Marie, ,1979-12-31,Ž,
Ing.,Petera,Miloš, ,1958-03-14,M,
 ,Pfléger,Stanislav, ,1958-05-14,M,
Ing.,Pilný,Ivan, ,1944-07-06,M,
JUDr. Ing.,Pleticha,Lukáš, ,1974-10-18,M,
Mgr.,Pojezný,Ivo, ,1961-05-21,M,
 ,Pražák,Karel, ,1945-01-11,M,
Ing.,Procházka,Roman, ,1968-11-23,M,
Ing.,Schwarz,Bronislav, ,1966-10-07,M,
PhDr.,Soukup,Zdeněk, ,1952-12-06,M,
JUDr.,Stupčuk,Štěpán, ,1976-03-09,M,
Ing.,Toufar,Lubomír, ,1954-03-26,M,
Ing.,Tureček,Karel, ,1971-02-01,M,
 ,Sobotka,Jan, ,1978-04-09,M,
Ing.,Kott,Josef, ,1970-11-15,M,
Ing.,Gabrhel,Vlastimil, ,1978-04-26,M,
Ing.,Luzar,Leo, ,1964-12-06,M,
Mgr.,Plíšek,Martin, ,1974-11-11,M,
Bc.,Syblík,Zdeněk, ,1956-05-07,M,
Ing.,Šánová,Zuzana, ,1959-05-24,Ž,
Mgr. Bc.,Golasowská,Pavla,DiS.,1964-05-18,Ž,
Mgr.,Rutová,Miloslava, ,1947-11-10,Ž,
