pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
 ,Holeček,Petr, ,1957-05-21,M,
doc. Ing.,Cienciala,Jiří,CSc.,1950-03-10,M,
Ing.,Canov,Michael, ,1900-01-01,M,
Ing.,Czernin,Tomáš, ,1900-01-01,M,
Mgr.,Dušek,Jiří,Ph.D.,1900-01-01,M,
Ing. Bc.,Hubáčková,Anna, ,1900-01-01,Ž,
Mgr.,Chaloupek,Václav, ,1900-01-01,M,
 ,Chmelová,Renata, ,1900-01-01,Ž,
Mgr.,Jelínková,Šárka, ,1900-01-01,Ž,
MUDr.,Kantor,Lumír,Ph.D.,1900-01-01,M,
Ing.,Kos,Ladislav, ,1900-01-01,M,
Ing.,Nytra,Zdeněk, ,1900-01-01,M,
 ,Orel,Petr, ,1900-01-01,M,
Mgr.,Růžička,Jiří, ,1900-01-01,M,
MUDr.,Václavec,Ladislav, ,1900-01-01,M,
Mgr.,Větrovský,Jaroslav, ,1900-01-01,M,
Ing.,Vítková,Jaromíra, ,1900-01-01,Ž,
