pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
PhDr.,Kopicová,Miroslava, ,1951-10-03,Ž,
Mgr.,Štěpánek,Martin, ,1947-01-11,M,16.09.2010
MUDr.,Julínek,Tomáš, ,1956-11-07,M,
Ing.,Kalaš,Petr, ,1940-02-17,M,
 ,Šedivý,Jiří,Ph.D.,1963-08-20,M,
Ing.,Fischer,Jan,CSc.,1951-01-02,M,
Ing.,Pecina,Martin,MBA,1968-07-09,M,
 ,Čunek,Jiří, ,1959-02-22,M,
 ,Schwarzenberg,Karel, ,1937-12-10,M,
Mgr.,Kuchtová,Dana, ,1961-06-18,Ž,
Mgr.,Třeštíková,Helena, ,1949-06-22,Ž,
MUDr.,Stehlíková,Džamila, ,1962-02-06,Ž,
Mgr.,Jehlička,Václav, ,1948-03-24,M,
Ing. arch.,Filipiová,Daniela, ,1957-08-09,Z,
Doc. JUDr.,Svoboda,Pavel,D.E.A.,1962-04-09,M,
Ing.,Šebesta,Jakub, ,1948-11-16,M,
PhDr.,Chládek,Marcel,MBA,1900-01-01,M,
PhDr.,Kohout,Jan, ,1961-03-29,M,
MUDr.,Barták,Martin, ,1967-02-14,M,
Ing.,Janota,Eduard, ,1952-03-13,M,
Mgr.,Füle,Štefan, ,1962-05-24,M,
Ing.,Tošovský,Vladimír, ,1961-10-17,M,
JUDr.,Kovářová,Daniela, ,1964-11-17,Ž,
JUDr.,Šimerka,Petr, ,1948-11-22,M,
Ing.,Slamečka,Gustav,MBA,1959-06-05,M,
Mgr.,Jurásková,Dana,"Ph.D., MBA",1961-09-21,Ž,
RNDr.,Miko,Ladislav,Ph.D.,1961-04-09,M,
 ,Riedlbauch,Václav, ,1947-04-01,M,
Ing.,Vondruška,Rostislav, ,1961-03-24,M,
JUDr.,Šmerda,Radek,Ph.D.,1977-05-14,M,
JUDr.,Dusík,Jan,M.Sc.,1975-04-25,M,
PhDr.,Chmiel,Juraj,CSc.,1960-08-16,M,
Ing.,Bízková,Rut, ,1957-07-19,Ž,
JUDr.,Bárta,Vít, ,1973-12-05,M,
MUDr.,Besser,Jiří, ,1957-08-04,M,
Mgr.,Dobeš,Josef, ,1964-02-28,M,
Dr. Ing.,Drábek,Jaromír, ,1965-03-05,M,
Mgr.,Drobil,Pavel, ,1971-10-18,M,
Ing.,Fuksa,Ivan, ,1963-07-15,M,
Mgr.,Hanáková,Alena, ,1958-09-01,Ž,
doc. MUDr.,Heger,Leoš,CSc.,1948-02-11,M,
Mgr.,Chalupa,Tomáš, ,1974-07-03,M,
Mgr.,John,Radek, ,1954-12-06,M,
Mgr.,Peake,Karolína, ,1975-10-10,Ž,
Ing.,Stanjura,Zbyněk, ,1964-02-15,M,
Ing.,Jankovský,Kamil, ,1958-03-10,M,
 ,Kubice,Jan, ,1953-10-03,M,
Mgr.,Dobeš,Pavel, ,1982-01-19,M,
MUDr.,Kuba,Martin, ,1973-04-09,M,
Prof. PhDr.,Fiala,Petr,"Ph.D., LL.M.",1964-09-01,M,
JUDr.,Blažek,Pavel,Ph.D.,1969-04-08,M,
JUDr. PhDr.,Mlsna,Petr,Ph.D.,1978-11-13,M,
Ing.,Picek,Vlastimil, ,1956-10-25,M,
doc. Ing.,Cienciala,Jiří,CSc.,1950-03-10,M,
MUDr.,Holcát,Martin,MBA,1954-04-23,M,
prof. RNDr.,Štys,Dalibor,CSc.,1962-09-01,M,
Ing.,Toman,Miroslav,CSc.,1960-02-06,M,
Bc.,Žák,Zdeněk, ,1968-07-02,M,
Mgr.,Lukl,František,MPA,1977-10-30,M,
Mgr.,Podivínský,Tomáš Jan, ,1969-11-21,M,
Mgr.,Balvín,Jiří, ,1953-08-14,M,
Mgr.,Benešová,Marie, ,1948-04-17,Ž,
MVDr.,Bělobrádek,Pavel,"Ph.D., MPA",1976-12-25,M,
Mgr.,Herman,Daniel, ,1963-04-28,M,
Ing.,Babiš,Andrej, ,1954-09-02,M,
prof. JUDr.,Válková,Helena,CSc.,1951-01-07,Ž,
Mgr.,Brabec,Richard, ,1966-07-05,M,
 ,Chovanec,Milan, ,1970-01-31,M,
Mgr. et Mgr.,Jourová,Věra, ,1964-08-18,Ž,
Ing.,Jurečka,Marian, ,1981-03-15,M,
Mgr.,Marksová,Michaela, ,1969-03-20,Ž,
Ing.,Prachař,Antonín, ,1962-12-14,M,
MUDr.,Němeček,Svatopluk,MBA,1972-02-23,M,
Ing.,Šlechtová,Karla, ,1977-05-22,Z,
Ing.,Ťok,Dan, ,1959-03-04,M,
JUDr.,Pelikán,Robert,Ph.D.,1979-10-18,M,
Mgr.,Valachová,Kateřina,Ph.D.,1976-09-15,Ž,
