pred,prijmeni,jmeno,za,narozeni,pohlavi,umrti
JUDr.,Rychetský,Pavel, ,1943-08-17,M,
 ,Kavan,Jan, ,1946-10-17,M,
doc. JUDr.,Pithart,Petr, ,1941-01-02,M,
Ing.,Zeman,Vladimír, ,1942-01-09,M,08.04.2013
Ing.,Topolánek,Mirek, ,1956-05-15,M,
Mgr.,Jehlička,Václav, ,1948-03-24,M,
Mgr.,Kulhánek,Vladimír, ,1900-01-01,M,
JUDr.,Vyvadil,Jiří, ,1900-01-01,M,
 ,Morávek,Peter, ,1900-01-01,M,
JUDr.,Falbr,Richard, ,1900-01-01,M,
Ing.,Drlý,Ladislav, ,1900-01-01,M,
RNDr.,Havlíček,Ivan,CSc.,1900-01-01,M,
Ing.,Jurečka,Jaroslav, ,1900-01-01,M,
MUDr.,Jirava,František, ,1900-01-01,M,
 ,Kulhánek,Bohumil, ,1900-01-01,M,
Mgr.,Vachta,Karel, ,1900-01-01,M,
Ing.,Smutný,Petr, ,1900-01-01,M,
Mgr.,Eybert,Pavel, ,1900-01-01,M,
PhDr.,Pospíšil,Jiří, ,1900-01-01,M,
 ,Štěch,Milan, ,1900-01-01,M,
Ing.,Rückl,Jiří, ,1900-01-01,M,
 ,Krámek,Jan, ,1900-01-01,M,
Ing.,Vojíř,Zdeněk, ,1900-01-01,M,
Ing. arch.,Mencl,Václav, ,1900-01-01,M,
 ,Klausner,Zdeněk, ,1900-01-01,M,
 ,Žantovský,Michael, ,1900-01-01,M,
Ing.,Kondr,Milan, ,1900-01-01,M,
RNDr.,Palečková,Alena, ,1900-01-01,Z,
 ,Pavlata,Josef, ,1900-01-01,M,
 ,Koukal,Jan, ,1900-01-01,M,
PhDr.,Benda,Václav, ,1900-01-01,M,
 ,Horák,Jaroslav, ,1900-01-01,M,
Ing.,Burda,Karel, ,1900-01-01,M,
MUDr.,Svoboda,Ladislav, ,1900-01-01,M,
 ,Neubauer,Oto, ,1900-01-01,M,
JUDr. Ing.,Musial,Jaroslav, ,1900-01-01,M,
 ,Lánský,Egon, ,1900-01-01,M,26.11.2013
MUDr.,Sobotka,Přemysl, ,1900-01-01,M,
PaedDr.,Vízek,František, ,1900-01-01,M,
MUDr.,Coufal,Miroslav, ,1900-01-01,M,
MVDr.,Liška,Jiří, ,1900-01-01,M,
Ing.,Filipová,Jarmila, ,1900-01-01,Z,
Ing.,Šubrt,Vlastimil, ,1900-01-01,M,
Doc. PhDr.,Floss,Karel, ,1900-01-01,M,
PhDr.,Benešová,Libuše, ,1900-01-01,Z,
Doc. RNDr.,Malát,Vladislav,CSc.,1900-01-01,M,
Doc. MUDr,Moserová,Jaroslava,DrSc.,1900-01-01,M,
Doc. MUDr.,Barták,Karel,CSc.,1900-01-01,M,
 ,Čada,Bohumil, ,1900-01-01,M,
 ,Müller,Miloslav, ,1900-01-01,M,
MVDr.,Bartoš,František, ,1900-01-01,M,
Ing.,Pavlů,Libor, ,1900-01-01,M,
Mgr.,Brýdl,Jiří, ,1900-01-01,M,
Ing.,Šenkýř,Jiří, ,1900-01-01,M,
MVDr.,Heřman,Pavel, ,1900-01-01,M,
MUDr.,Špaček,Milan, ,1900-01-01,M,
RNDr.,Svobodová,Vlasta, ,1900-01-01,Z,
Mgr.,Pavlov,Jiří, ,1900-01-01,M,
RNDr.,Dočekal,Oldřich, ,1900-01-01,M,
RNDr.,Zahradníček,Luděk, ,1900-01-01,M,
JUDr.,Salzmann,Richard, ,1900-01-01,M,
 ,Zahradníček,Jan, ,1900-01-01,M,
Prof. PhDr.,Jařab,Josef,CSc.,1900-01-01,M,
RNDr.,Seitlová,Jitka, ,1900-01-01,Z,
Ing.,Babka,Zdeněk, ,1900-01-01,M,
Ing.,Reitinger,Václav, ,1900-01-01,M,
Ing.,Korytář,Karel, ,1900-01-01,M,
Mgr.,Konečný,František, ,1900-01-01,M,
 ,Voráček,Jan, ,1900-01-01,M,
 ,Vašínková,Věra, ,1900-01-01,Z,
Ing.,Zapletal,Jan, ,1900-01-01,M,
Ing.,Matuška,Vítězslav, ,1900-01-01,M,
Ing.,Škrabiš,Emil, ,1900-01-01,M,
Ing.,Michalík,Alfréd, ,1900-01-01,M,
Mgr.,Petráš,Antonín, ,1900-01-01,M,
MUDr.,Nováková,Eva, ,1900-01-01,Z,
Ing.,Oplt,Vladimír, ,1900-01-01,M,
 ,Ondrová,Irena, ,1900-01-01,Z,
 ,Benda,Jan, ,1900-01-01,M,
Ing.,Stodůlka,Jiří, ,1900-01-01,M,
Ing.,Petřík,Jaroslav, ,1900-01-01,M,
